Wavelength,INOK-1,INOK-2,INOK-3,INOK-4,INOK-5,YD10B-1,YD10B-2,YD10B-3,YD10B-4,YD10B-5
11.25915,0.289785627,0.253540039,0.223697101,0.160111681,0.120260098,0.045612234,0.041053795,0.039027838,0.030848842,0.029525758
11.2593,0.290061515,0.25376617,0.223884789,0.160225834,0.12033472,0.045789071,0.041205177,0.03916833,0.030948192,0.029618901
11.25945,0.290337791,0.253992599,0.22407271,0.160340106,0.120409411,0.045966898,0.041357364,0.039309551,0.031048001,0.029712466
11.2596,0.290614454,0.254219325,0.224260863,0.160454497,0.120484169,0.046145724,0.041510362,0.039451505,0.031148272,0.029806454
11.25975,0.290891506,0.254446349,0.224449248,0.160569009,0.120558995,0.046325555,0.041664176,0.039594198,0.031249007,0.029900868
11.2599,0.291168948,0.254673672,0.224637866,0.16068364,0.120633889,0.046506399,0.041818812,0.039737635,0.031350209,0.029995711
11.26005,0.29144678,0.254901294,0.224826717,0.160798391,0.120708852,0.046688263,0.041974276,0.039881821,0.031451882,0.030090985
11.2602,0.291725002,0.255129215,0.225015802,0.160913263,0.120783882,0.046871155,0.042130574,0.040026761,0.031554028,0.030186694
11.26035,0.292003617,0.255357437,0.225205121,0.161028255,0.12085898,0.047055082,0.042287712,0.04017246,0.03165665,0.030282838
11.2605,0.292282623,0.25558596,0.225394674,0.161143367,0.120934147,0.047240053,0.042445695,0.040318923,0.031759751,0.030379422
11.26065,0.292562023,0.255814783,0.225584462,0.1612586,0.121009383,0.047426075,0.042604529,0.040466157,0.031863333,0.030476447
11.2608,0.292841816,0.256043909,0.225774485,0.161373954,0.121084686,0.047613155,0.042764222,0.040614165,0.031967401,0.030573916
11.26095,0.293122004,0.256273336,0.225964744,0.16148943,0.121160059,0.047801303,0.042924778,0.040762954,0.032071956,0.030671833
11.2611,0.293402587,0.256503067,0.226155239,0.161605026,0.1212355,0.047990526,0.043086204,0.040912528,0.032177003,0.030770199
11.26125,0.293683566,0.256733101,0.22634597,0.161720744,0.121311009,0.048180832,0.043248506,0.041062894,0.032282543,0.030869018
11.2614,0.293964942,0.256963439,0.226536938,0.161836583,0.121386588,0.048372229,0.04341169,0.041214057,0.032388579,0.030968291
11.26155,0.294246715,0.257194081,0.226728143,0.161952544,0.121462235,0.048564725,0.043575764,0.041366023,0.032495116,0.031068023
11.2617,0.294528887,0.257425028,0.226919585,0.162068628,0.121537951,0.048758329,0.043740732,0.041518796,0.032602156,0.031168215
11.26185,0.294811458,0.257656281,0.227111265,0.162184833,0.121613737,0.04895305,0.043906602,0.041672383,0.032709702,0.031268871
11.262,0.295094428,0.257887839,0.227303184,0.16230116,0.121689591,0.049148895,0.044073379,0.041826789,0.032817758,0.031369993
11.26215,0.295377799,0.258119704,0.227495341,0.16241761,0.121765515,0.049345873,0.044241072,0.041982021,0.032926326,0.031471584
11.2623,0.295661571,0.258351877,0.227687737,0.162534182,0.121841508,0.049543993,0.044409685,0.042138084,0.03303541,0.031573648
11.26245,0.295945744,0.258584357,0.227880373,0.162650878,0.12191757,0.049743264,0.044579226,0.042294983,0.033145012,0.031676186
11.2626,0.296230321,0.258817145,0.228073248,0.162767696,0.121993702,0.049943695,0.044749702,0.042452725,0.033255137,0.031779201
11.26275,0.296515301,0.259050241,0.228266364,0.162884637,0.122069904,0.050145293,0.044921119,0.042611316,0.033365787,0.031882698
11.2629,0.296800686,0.259283647,0.22845972,0.163001701,0.122146175,0.05034807,0.045093485,0.042770761,0.033476966,0.031986678
11.26305,0.297086475,0.259517363,0.228653318,0.163118889,0.122222515,0.050552032,0.045266805,0.042931068,0.033588677,0.032091145
11.2632,0.29737267,0.259751389,0.228847157,0.163236201,0.122298926,0.05075719,0.045441088,0.043092241,0.033700924,0.032196101
11.26335,0.297659272,0.259985726,0.229041237,0.163353636,0.122375406,0.050963553,0.045616339,0.043254287,0.033813709,0.03230155
11.2635,0.297946281,0.260220375,0.22923556,0.163471196,0.122451957,0.05117113,0.045792567,0.043417213,0.033927036,0.032407494
11.26365,0.298233698,0.260455335,0.229430126,0.163588879,0.122528577,0.051379931,0.045969778,0.043581024,0.034040909,0.032513938
11.2638,0.298521524,0.260690608,0.229624935,0.163706687,0.122605268,0.051589965,0.04614798,0.043745727,0.034155331,0.032620883
11.26395,0.298809759,0.260926194,0.229819987,0.163824619,0.122682029,0.051801241,0.04632718,0.043911329,0.034270306,0.032728333
11.2641,0.299098405,0.261162094,0.230015283,0.163942676,0.12275886,0.05201377,0.046507385,0.044077835,0.034385836,0.032836291
11.26425,0.299387462,0.261398308,0.230210823,0.164060858,0.122835762,0.052227561,0.046688603,0.044245253,0.034501927,0.03294476
11.2644,0.299676931,0.261634836,0.230406608,0.164179165,0.122912734,0.052442624,0.046870841,0.044413588,0.03461858,0.033053743
11.26455,0.299966813,0.26187168,0.230602638,0.164297597,0.122989776,0.052658969,0.047054107,0.044582848,0.0347358,0.033163245
